   Elapsed_time	    ECG
          0.283	  0.238
          0.285	  0.238
          0.286	  0.238
          0.287	  0.238
          0.289	  0.246
          0.290	  0.262
          0.292	  0.254
          0.293	  0.246
          0.294	  0.238
          0.296	  0.246
          0.297	  0.238
          0.299	  0.215
          0.300	  0.231
          0.301	  0.231
          0.303	  0.231
          0.304	  0.231
          0.306	  0.231
          0.307	  0.215
          0.308	  0.208
          0.310	  0.223
          0.311	  0.215
          0.312	  0.192
          0.314	  0.185
          0.315	  0.162
          0.317	  0.131
          0.318	  0.123
          0.319	  0.115
          0.321	  0.092
          0.322	  0.062
          0.324	  0.031
          0.325	  0.008
          0.326	 -0.031
          0.328	 -0.062
          0.329	 -0.077
          0.331	 -0.108
          0.332	 -0.146
          0.333	 -0.169
          0.335	 -0.208
          0.336	 -0.254
          0.338	 -0.292
          0.339	 -0.331
          0.340	 -0.354
          0.342	 -0.377
          0.343	 -0.369
          0.344	 -0.369
          0.346	 -0.377
          0.347	 -0.392
          0.349	 -0.400
          0.350	 -0.392
          0.351	 -0.392
          0.353	 -0.362
          0.354	 -0.346
          0.356	 -0.338
          0.357	 -0.323
          0.358	 -0.285
          0.360	 -0.277
          0.361	 -0.254
          0.362	 -0.223
          0.364	 -0.192
          0.365	 -0.177
          0.367	 -0.146
          0.368	 -0.123
          0.369	 -0.092
          0.371	 -0.077
          0.372	 -0.092
          0.374	 -0.092
          0.375	 -0.092
          0.376	 -0.092
          0.378	 -0.077
          0.379	 -0.069
          0.381	 -0.069
          0.382	 -0.077
          0.383	 -0.069
          0.385	 -0.069
          0.386	 -0.062
          0.388	 -0.062
          0.389	 -0.062
          0.390	 -0.046
          0.392	 -0.046
          0.393	 -0.038
          0.394	 -0.031
          0.396	 -0.023
          0.397	 -0.015
          0.399	  0.008
          0.400	  0.000
          0.401	  0.008
          0.403	  0.008
          0.404	 -0.008
          0.406	  0.008
          0.407	  0.031
          0.408	  0.023
          0.410	  0.015
          0.411	  0.023
          0.412	  0.038
          0.414	  0.046
          0.415	  0.054
          0.417	  0.062
          0.418	  0.069
          0.419	  0.085
          0.421	  0.108
          0.422	  0.123
          0.424	  0.131
          0.425	  0.146
          0.426	  0.154
          0.428	  0.162
          0.429	  0.177
          0.431	  0.185
          0.432	  0.185
          0.433	  0.192
          0.435	  0.169
          0.436	  0.177
          0.438	  0.177
          0.439	  0.185
          0.440	  0.185
          0.442	  0.192
          0.443	  0.185
          0.444	  0.200
          0.446	  0.192
          0.447	  0.185
          0.449	  0.208
          0.450	  0.208
          0.451	  0.200
          0.453	  0.200
          0.454	  0.215
          0.456	  0.208
          0.457	  0.215
          0.458	  0.223
          0.460	  0.231
          0.461	  0.223
          0.463	  0.223
          0.464	  0.231
          0.465	  0.231
          0.467	  0.223
          0.468	  0.215
          0.469	  0.223
          0.471	  0.223
          0.472	  0.223
          0.474	  0.223
          0.475	  0.223
          0.476	  0.223
          0.478	  0.238
          0.479	  0.231
          0.481	  0.223
          0.482	  0.238
          0.483	  0.238
          0.485	  0.238
          0.486	  0.246
          0.487	  0.238
          0.489	  0.238
          0.490	  0.238
          0.492	  0.238
          0.493	  0.238
          0.494	  0.246
          0.496	  0.254
          0.497	  0.254
          0.499	  0.246
          0.500	  0.246
          0.501	  0.254
          0.503	  0.246
          0.504	  0.254
          0.506	  0.262
          0.507	  0.269
          0.508	  0.262
          0.510	  0.269
          0.511	  0.269
          0.512	  0.269
          0.514	  0.277
          0.515	  0.277
          0.517	  0.269
          0.518	  0.262
          0.519	  0.262
          0.521	  0.269
          0.522	  0.262
          0.524	  0.269
          0.525	  0.277
          0.526	  0.277
          0.528	  0.277
          0.529	  0.292
          0.531	  0.292
          0.532	  0.292
          0.533	  0.292
          0.535	  0.300
          0.536	  0.300
          0.537	  0.300
          0.539	  0.308
          0.540	  0.308
          0.542	  0.315
          0.543	  0.323
          0.544	  0.315
          0.546	  0.323
          0.547	  0.338
          0.549	  0.331
          0.550	  0.338
          0.551	  0.338
          0.553	  0.354
          0.554	  0.346
          0.556	  0.338
          0.557	  0.346
          0.558	  0.346
          0.560	  0.338
          0.561	  0.338
          0.562	  0.346
          0.564	  0.362
          0.565	  0.362
          0.567	  0.354
          0.568	  0.362
          0.569	  0.369
          0.571	  0.385
          0.572	  0.392
          0.574	  0.415
          0.575	  0.423
          0.576	  0.431
          0.578	  0.454
          0.579	  0.469
          0.581	  0.469
          0.582	  0.485
          0.583	  0.492
          0.585	  0.492
          0.586	  0.508
          0.588	  0.531
          0.589	  0.515
          0.590	  0.523
          0.592	  0.546
          0.593	  0.569
          0.594	  0.585
          0.596	  0.592
          0.597	  0.600
          0.599	  0.623
          0.600	  0.638
          0.601	  0.646
          0.603	  0.654
          0.604	  0.654
          0.606	  0.669
          0.607	  0.669
          0.608	  0.685
          0.610	  0.685
          0.611	  0.685
          0.613	  0.692
          0.614	  0.700
          0.615	  0.700
          0.617	  0.700
          0.618	  0.692
          0.619	  0.715
          0.621	  0.708
          0.622	  0.700
          0.624	  0.715
          0.625	  0.715
          0.626	  0.708
          0.628	  0.708
          0.629	  0.715
          0.631	  0.715
          0.632	  0.723
          0.633	  0.715
          0.635	  0.700
          0.636	  0.692
          0.637	  0.708
          0.639	  0.700
          0.640	  0.692
          0.642	  0.685
          0.643	  0.677
          0.644	  0.662
          0.646	  0.669
          0.647	  0.662
          0.649	  0.654
          0.650	  0.646
          0.651	  0.638
          0.653	  0.623
          0.654	  0.623
          0.656	  0.600
          0.657	  0.592
          0.658	  0.585
          0.660	  0.569
          0.661	  0.569
          0.662	  0.569
          0.664	  0.569
          0.665	  0.569
          0.667	  0.562
          0.668	  0.554
          0.669	  0.554
          0.671	  0.546
          0.672	  0.554
          0.674	  0.554
          0.675	  0.538
          0.676	  0.515
          0.678	  0.523
          0.679	  0.531
          0.681	  0.508
          0.682	  0.500
          0.683	  0.500
          0.685	  0.477
          0.686	  0.469
          0.688	  0.454
          0.689	  0.446
          0.690	  0.438
          0.692	  0.423
          0.693	  0.415
          0.694	  0.408
          0.696	  0.408
          0.697	  0.400
          0.699	  0.385
          0.700	  0.377
          0.701	  0.377
          0.703	  0.362
          0.704	  0.354
          0.706	  0.346
          0.707	  0.338
          0.708	  0.331
          0.710	  0.338
          0.711	  0.338
          0.713	  0.331
          0.714	  0.315
          0.715	  0.315
          0.717	  0.323
          0.718	  0.315
          0.719	  0.315
          0.721	  0.308
          0.722	  0.300
          0.724	  0.292
          0.725	  0.308
          0.726	  0.300
          0.728	  0.285
          0.729	  0.262
          0.731	  0.269
          0.732	  0.269
          0.733	  0.262
          0.735	  0.262
          0.736	  0.277
          0.738	  0.269
          0.739	  0.262
          0.740	  0.269
          0.742	  0.262
          0.743	  0.246
          0.744	  0.246
          0.746	  0.254
          0.747	  0.254
          0.749	  0.254
          0.750	  0.246
          0.751	  0.254
          0.753	  0.246
          0.754	  0.238
          0.756	  0.231
          0.757	  0.246
          0.758	  0.246
          0.760	  0.238
          0.761	  0.246
          0.762	  0.246
          0.764	  0.231
          0.765	  0.231
          0.767	  0.238
          0.768	  0.223
          0.769	  0.215
          0.771	  0.223
          0.772	  0.231
          0.774	  0.223
          0.775	  0.238
          0.776	  0.238
          0.778	  0.238
          0.779	  0.246
          0.781	  0.254
          0.782	  0.246
          0.783	  0.246
          0.785	  0.246
          0.786	  0.246
          0.787	  0.246
          0.789	  0.262
          0.790	  0.254
          0.792	  0.246
          0.793	  0.246
          0.794	  0.238
          0.796	  0.238
          0.797	  0.246
          0.799	  0.238
          0.800	  0.231
          0.801	  0.238
          0.803	  0.238
          0.804	  0.238
          0.806	  0.238
          0.807	  0.238
          0.808	  0.223
          0.810	  0.238
          0.811	  0.246
          0.812	  0.246
          0.814	  0.238
          0.815	  0.238
          0.817	  0.238
          0.818	  0.246
          0.819	  0.246
          0.821	  0.238
          0.822	  0.238
          0.824	  0.238
          0.825	  0.223
          0.826	  0.231
          0.828	  0.238
          0.829	  0.238
          0.831	  0.231
          0.832	  0.231
          0.833	  0.231
          0.835	  0.231
          0.836	  0.223
          0.838	  0.223
          0.839	  0.223
          0.840	  0.223
          0.842	  0.223
          0.843	  0.223
          0.844	  0.231
          0.846	  0.231
          0.847	  0.231
          0.849	  0.231
          0.850	  0.238
          0.851	  0.231
          0.853	  0.223
          0.854	  0.215
          0.856	  0.208
          0.857	  0.208
          0.858	  0.200
          0.860	  0.208
          0.861	  0.208
          0.863	  0.208
          0.864	  0.208
          0.865	  0.208
          0.867	  0.208
          0.868	  0.215
          0.869	  0.215
          0.871	  0.215
          0.872	  0.208
          0.874	  0.215
          0.875	  0.200
          0.876	  0.192
          0.878	  0.192
          0.879	  0.185
          0.881	  0.177
          0.882	  0.192
          0.883	  0.185
          0.885	  0.169
          0.886	  0.177
          0.887	  0.177
          0.889	  0.169
          0.890	  0.169
          0.892	  0.154
          0.893	  0.162
          0.894	  0.177
          0.896	  0.185
          0.897	  0.185
          0.899	  0.177
          0.900	  0.185
          0.901	  0.177
          0.903	  0.185
          0.904	  0.185
          0.906	  0.177
          0.907	  0.185
          0.908	  0.185
          0.910	  0.177
          0.911	  0.185
          0.912	  0.169
          0.914	  0.185
          0.915	  0.185
          0.917	  0.177
          0.918	  0.192
          0.919	  0.192
          0.921	  0.192
          0.922	  0.185
          0.924	  0.185
          0.925	  0.192
          0.926	  0.192
          0.928	  0.192
          0.929	  0.200
          0.931	  0.200
          0.932	  0.192
          0.933	  0.185
          0.935	  0.192
          0.936	  0.185
          0.938	  0.192
          0.939	  0.185
          0.940	  0.192
          0.942	  0.192
          0.943	  0.185
          0.944	  0.177
          0.946	  0.169
          0.947	  0.169
          0.949	  0.169
          0.950	  0.162
          0.951	  0.162
          0.953	  0.177
          0.954	  0.177
          0.956	  0.177
          0.957	  0.192
          0.958	  0.192
          0.960	  0.177
          0.961	  0.185
          0.963	  0.185
          0.964	  0.185
          0.965	  0.192
          0.967	  0.185
          0.968	  0.192
          0.969	  0.185
          0.971	  0.185
          0.972	  0.192
          0.974	  0.200
          0.975	  0.208
          0.976	  0.208
          0.978	  0.208
          0.979	  0.208
          0.981	  0.200
          0.982	  0.208
          0.983	  0.200
          0.985	  0.200
          0.986	  0.200
          0.988	  0.192
          0.989	  0.192
          0.990	  0.192
          0.992	  0.185
          0.993	  0.192
          0.994	  0.192
          0.996	  0.192
          0.997	  0.192
          0.999	  0.192
          1.000	  0.192
          1.001	  0.192
          1.003	  0.192
          1.004	  0.185
          1.006	  0.192
          1.007	  0.192
          1.008	  0.185
          1.010	  0.177
          1.011	  0.185
          1.012	  0.185
          1.014	  0.177
          1.015	  0.162
          1.017	  0.162
          1.018	  0.154
          1.019	  0.154
          1.021	  0.146
          1.022	  0.169
          1.024	  0.169
          1.025	  0.177
          1.026	  0.185
          1.028	  0.200
          1.029	  0.200
          1.031	  0.200
          1.032	  0.200
          1.033	  0.192
          1.035	  0.192
          1.036	  0.192
          1.038	  0.185
          1.039	  0.185
          1.040	  0.185
          1.042	  0.192
          1.043	  0.192
          1.044	  0.192
          1.046	  0.185
          1.047	  0.185
          1.049	  0.200
          1.050	  0.208
          1.051	  0.200
          1.053	  0.192
          1.054	  0.215
          1.056	  0.215
          1.057	  0.200
          1.058	  0.192
          1.060	  0.200
          1.061	  0.200
          1.062	  0.192
          1.064	  0.185
          1.065	  0.185
          1.067	  0.177
          1.068	  0.177
          1.069	  0.177
          1.071	  0.177
          1.072	  0.185
          1.074	  0.177
          1.075	  0.185
          1.076	  0.192
          1.078	  0.185
          1.079	  0.185
          1.081	  0.192
          1.082	  0.185
          1.083	  0.192
          1.085	  0.192
          1.086	  0.177
          1.087	  0.169
          1.089	  0.185
          1.090	  0.192
          1.092	  0.185
          1.093	  0.177
          1.094	  0.177
          1.096	  0.169
          1.097	  0.177
          1.099	  0.177
          1.100	  0.169
          1.101	  0.177
          1.103	  0.185
          1.104	  0.177
          1.106	  0.177
          1.107	  0.192
          1.108	  0.185
          1.110	  0.185
          1.111	  0.200
          1.113	  0.192
          1.114	  0.185
          1.115	  0.192
          1.117	  0.185
          1.118	  0.185
          1.119	  0.185
          1.121	  0.185
          1.122	  0.177
          1.124	  0.177
          1.125	  0.177
          1.126	  0.169
          1.128	  0.169
          1.129	  0.162
          1.131	  0.177
          1.132	  0.177
          1.133	  0.169
          1.135	  0.185
          1.136	  0.200
          1.137	  0.192
          1.139	  0.200
          1.140	  0.200
          1.142	  0.192
          1.143	  0.192
          1.144	  0.200
          1.146	  0.200
          1.147	  0.200
          1.149	  0.208
          1.150	  0.200
          1.151	  0.200
          1.153	  0.200
          1.154	  0.185
          1.156	  0.185
          1.157	  0.177
          1.158	  0.177
          1.160	  0.177
          1.161	  0.177
          1.163	  0.185
          1.164	  0.185
          1.165	  0.177
          1.167	  0.185
          1.168	  0.192
          1.169	  0.185
          1.171	  0.192
          1.172	  0.185
          1.174	  0.185
          1.175	  0.177
          1.176	  0.192
          1.178	  0.192
          1.179	  0.185
          1.181	  0.177
          1.182	  0.177
          1.183	  0.169
          1.185	  0.177
          1.186	  0.177
          1.188	  0.169
          1.189	  0.169
          1.190	  0.154
          1.192	  0.169
          1.193	  0.185
          1.194	  0.185
          1.196	  0.177
          1.197	  0.185
          1.199	  0.185
          1.200	  0.185
          1.201	  0.185
          1.203	  0.185
          1.204	  0.177
          1.206	  0.192
          1.207	  0.177
          1.208	  0.177
          1.210	  0.177
          1.211	  0.185
          1.212	  0.177
          1.214	  0.185
          1.215	  0.192
          1.217	  0.185
          1.218	  0.185
          1.219	  0.185
          1.221	  0.185
          1.222	  0.185
          1.224	  0.192
          1.225	  0.185
          1.226	  0.169
          1.228	  0.185
          1.229	  0.192
          1.231	  0.177
          1.232	  0.185
          1.233	  0.192
          1.235	  0.185
          1.236	  0.185
          1.238	  0.185
          1.239	  0.185
          1.240	  0.177
          1.242	  0.185
          1.243	  0.185
          1.244	  0.192
          1.246	  0.185
          1.247	  0.185
          1.249	  0.185
          1.250	  0.185
          1.251	  0.177
          1.253	  0.169
          1.254	  0.177
          1.256	  0.177
          1.257	  0.169
          1.258	  0.177
          1.260	  0.192
          1.261	  0.185
          1.262	  0.169
          1.264	  0.169
          1.265	  0.185
          1.267	  0.185
          1.268	  0.177
          1.269	  0.185
          1.271	  0.185
          1.272	  0.177
          1.274	  0.169
          1.275	  0.169
          1.276	  0.162
          1.278	  0.162
          1.279	  0.162
          1.281	  0.154
          1.282	  0.154
          1.283	  0.169
          1.285	  0.169
          1.286	  0.177
          1.288	  0.177
          1.289	  0.177
          1.290	  0.185
          1.292	  0.177
          1.293	  0.185
          1.294	  0.185
          1.296	  0.177
          1.297	  0.185
          1.299	  0.185
          1.300	  0.185
          1.301	  0.192
          1.303	  0.192
          1.304	  0.185
          1.306	  0.177
          1.307	  0.177
          1.308	  0.177
          1.310	  0.169
          1.311	  0.169
          1.312	  0.169
          1.314	  0.169
          1.315	  0.169
          1.317	  0.169
          1.318	  0.169
          1.319	  0.162
          1.321	  0.162
          1.322	  0.169
          1.324	  0.177
          1.325	  0.169
          1.326	  0.177
          1.328	  0.185
          1.329	  0.177
          1.331	  0.185
          1.332	  0.192
          1.333	  0.185
          1.335	  0.177
          1.336	  0.177
          1.337	  0.169
          1.339	  0.169
          1.340	  0.169
          1.342	  0.177
          1.343	  0.185
          1.344	  0.169
          1.346	  0.185
          1.347	  0.177
          1.349	  0.192
          1.350	  0.185
          1.351	  0.185
          1.353	  0.192
          1.354	  0.192
          1.356	  0.185
          1.357	  0.192
          1.358	  0.192
          1.360	  0.192
          1.361	  0.192
          1.363	  0.200
          1.364	  0.200
          1.365	  0.192
          1.367	  0.208
          1.368	  0.223
          1.369	  0.215
          1.371	  0.215
          1.372	  0.223
          1.374	  0.215
          1.375	  0.215
          1.376	  0.215
          1.378	  0.215
          1.379	  0.208
          1.381	  0.208
          1.382	  0.223
          1.383	  0.208
          1.385	  0.208
          1.386	  0.223
          1.387	  0.223
          1.389	  0.215
          1.390	  0.215
          1.392	  0.215
          1.393	  0.215
          1.394	  0.215
          1.396	  0.215
          1.397	  0.215
          1.399	  0.208
          1.400	  0.200
          1.401	  0.208
          1.403	  0.208
          1.404	  0.208
          1.406	  0.215
          1.407	  0.208
          1.408	  0.200
          1.410	  0.200
          1.411	  0.208
          1.413	  0.208
          1.414	  0.208
          1.415	  0.215
          1.417	  0.208
          1.418	  0.200
          1.419	  0.200
          1.421	  0.192
          1.422	  0.192
          1.424	  0.215
          1.425	  0.208
          1.426	  0.185
          1.428	  0.200
          1.429	  0.208
          1.431	  0.200
          1.432	  0.192
          1.433	  0.200
          1.435	  0.192
          1.436	  0.169
          1.438	  0.185
          1.439	  0.192
          1.440	  0.169
          1.442	  0.177
          1.443	  0.185
          1.444	  0.185
          1.446	  0.185
          1.447	  0.185
          1.449	  0.185
          1.450	  0.185
          1.451	  0.185
          1.453	  0.177
          1.454	  0.177
          1.456	  0.185
          1.457	  0.185
          1.458	  0.177
          1.460	  0.185
          1.461	  0.177
          1.462	  0.169
          1.464	  0.177
          1.465	  0.177
          1.467	  0.154
          1.468	  0.154
          1.469	  0.154
          1.471	  0.162
          1.472	  0.154
          1.474	  0.162
          1.475	  0.162
          1.476	  0.169
          1.478	  0.162
          1.479	  0.162
          1.481	  0.169
          1.482	  0.162
          1.483	  0.146
          1.485	  0.154
          1.486	  0.154
          1.488	  0.146
          1.489	  0.154
          1.490	  0.162
          1.492	  0.154
          1.493	  0.154
          1.494	  0.162
          1.496	  0.162
          1.497	  0.146
          1.499	  0.146
          1.500	  0.154
          1.501	  0.146
          1.503	  0.154
          1.504	  0.138
          1.506	  0.131
          1.507	  0.138
          1.508	  0.131
          1.510	  0.138
          1.511	  0.138
          1.512	  0.138
          1.514	  0.138
          1.515	  0.146
          1.517	  0.154
          1.518	  0.146
          1.519	  0.131
          1.521	  0.146
          1.522	  0.154
          1.524	  0.162
          1.525	  0.169
          1.526	  0.169
          1.528	  0.162
          1.529	  0.177
          1.531	  0.192
          1.532	  0.200
          1.533	  0.200
          1.535	  0.200
          1.536	  0.200
          1.538	  0.215
          1.539	  0.215
          1.540	  0.208
          1.542	  0.223
          1.543	  0.231
          1.544	  0.223
          1.546	  0.231
          1.547	  0.238
          1.549	  0.238
          1.550	  0.262
          1.551	  0.285
          1.553	  0.308
          1.554	  0.338
          1.556	  0.385
          1.557	  0.408
          1.558	  0.423
          1.560	  0.431
          1.561	  0.423
          1.562	  0.400
          1.564	  0.400
          1.565	  0.385
          1.567	  0.354
          1.568	  0.331
          1.569	  0.323
          1.571	  0.315
          1.572	  0.269
          1.574	  0.231
          1.575	  0.223
          1.576	  0.192
          1.578	  0.177
          1.579	  0.154
          1.581	  0.138
          1.582	  0.146
          1.583	  0.131
          1.585	  0.108
          1.586	  0.085
          1.587	  0.077
          1.589	  0.069
          1.590	  0.085
          1.592	  0.092
          1.593	  0.092
          1.594	  0.108
          1.596	  0.115
          1.597	  0.108
          1.599	  0.123
          1.600	  0.138
          1.601	  0.123
          1.603	  0.131
          1.604	  0.123
          1.606	  0.115
          1.607	  0.108
          1.608	  0.108
          1.610	  0.108
          1.611	  0.115
          1.613	  0.138
          1.614	  0.138
          1.615	  0.138
          1.617	  0.146
          1.618	  0.154
          1.619	  0.154
          1.621	  0.146
          1.622	  0.146
          1.624	  0.146
          1.625	  0.146
          1.626	  0.162
          1.628	  0.162
          1.629	  0.162
          1.631	  0.177
          1.632	  0.162
          1.633	  0.177
          1.635	  0.177
          1.636	  0.162
          1.637	  0.169
          1.639	  0.162
          1.640	  0.162
          1.642	  0.162
          1.643	  0.169
          1.644	  0.169
          1.646	  0.162
          1.647	  0.154
          1.649	  0.154
          1.650	  0.154
          1.651	  0.146
          1.653	  0.154
          1.654	  0.162
          1.656	  0.169
          1.657	  0.169
          1.658	  0.185
          1.660	  0.177
          1.661	  0.177
          1.663	  0.177
          1.664	  0.169
          1.665	  0.162
          1.667	  0.169
          1.668	  0.169
          1.669	  0.169
          1.671	  0.169
          1.672	  0.177
          1.674	  0.169
          1.675	  0.177
          1.676	  0.192
          1.678	  0.177
          1.679	  0.177
          1.681	  0.185
          1.682	  0.177
          1.683	  0.177
          1.685	  0.169
          1.686	  0.162
          1.688	  0.162
          1.689	  0.177
          1.690	  0.177
          1.692	  0.169
          1.693	  0.177
          1.694	  0.177
          1.696	  0.169
          1.697	  0.177
          1.699	  0.177
          1.700	  0.169
          1.701	  0.177
          1.703	  0.192
          1.704	  0.177
          1.706	  0.177
          1.707	  0.185
          1.708	  0.192
          1.710	  0.185
          1.711	  0.192
          1.712	  0.185
          1.714	  0.185
          1.715	  0.185
          1.717	  0.192
          1.718	  0.192
          1.719	  0.185
          1.721	  0.185
          1.722	  0.177
          1.724	  0.177
          1.725	  0.177
          1.726	  0.185
          1.728	  0.185
          1.729	  0.169
          1.731	  0.169
          1.732	  0.177
          1.733	  0.177
          1.735	  0.169
          1.736	  0.185
          1.738	  0.185
          1.739	  0.169
          1.740	  0.177
          1.742	  0.185
          1.743	  0.185
          1.744	  0.185
          1.746	  0.192
          1.747	  0.185
          1.749	  0.185
          1.750	  0.200
          1.751	  0.192
          1.753	  0.169
          1.754	  0.169
          1.756	  0.169
          1.757	  0.154
          1.758	  0.154
          1.760	  0.169
          1.761	  0.162
          1.762	  0.169
          1.764	  0.177
          1.765	  0.169
          1.767	  0.177
          1.768	  0.185
          1.769	  0.177
          1.771	  0.177
          1.772	  0.185
          1.774	  0.185
          1.775	  0.177
          1.776	  0.185
          1.778	  0.185
          1.779	  0.177
          1.781	  0.185
          1.782	  0.185
          1.783	  0.169
          1.785	  0.169
          1.786	  0.169
          1.788	  0.162
          1.789	  0.162
          1.790	  0.169
          1.792	  0.169
          1.793	  0.162
          1.794	  0.169
          1.796	  0.169
          1.797	  0.169
          1.799	  0.177
          1.800	  0.177
          1.801	  0.169
          1.803	  0.169
          1.804	  0.169
          1.806	  0.185
          1.807	  0.185
          1.808	  0.177
          1.810	  0.177
          1.811	  0.177
          1.812	  0.185
          1.814	  0.192
          1.815	  0.177
          1.817	  0.192
          1.818	  0.200
          1.819	  0.200
          1.821	  0.200
          1.822	  0.208
          1.824	  0.200
          1.825	  0.200
          1.826	  0.200
          1.828	  0.208
          1.829	  0.231
          1.831	  0.231
          1.832	  0.223
          1.833	  0.223
          1.835	  0.246
          1.836	  0.246
          1.837	  0.246
          1.839	  0.254
          1.840	  0.254
          1.842	  0.262
          1.843	  0.254
          1.844	  0.262
          1.846	  0.254
          1.847	  0.269
          1.849	  0.277
          1.850	  0.277
          1.851	  0.277
          1.853	  0.285
          1.854	  0.277
          1.856	  0.285
          1.857	  0.285
          1.858	  0.292
          1.860	  0.292
          1.861	  0.285
          1.863	  0.285
          1.864	  0.292
          1.865	  0.308
          1.867	  0.315
          1.868	  0.315
          1.869	  0.308
          1.871	  0.300
          1.872	  0.292
          1.874	  0.300
          1.875	  0.300
          1.876	  0.292
          1.878	  0.285
          1.879	  0.285
          1.881	  0.277
          1.882	  0.292
          1.883	  0.292
          1.885	  0.277
          1.886	  0.269
          1.887	  0.262
          1.889	  0.254
          1.890	  0.254
          1.892	  0.262
          1.893	  0.277
          1.894	  0.269
          1.896	  0.262
          1.897	  0.254
          1.899	  0.254
          1.900	  0.262
          1.901	  0.262
          1.903	  0.277
          1.904	  0.269
          1.906	  0.262
          1.907	  0.262
          1.908	  0.269
          1.910	  0.246
          1.911	  0.246
          1.913	  0.246
          1.914	  0.246
          1.915	  0.246
          1.917	  0.246
          1.918	  0.246
          1.919	  0.238
          1.921	  0.231
          1.922	  0.231
          1.924	  0.231
          1.925	  0.231
          1.926	  0.223
          1.928	  0.215
          1.929	  0.215
